date,Chrome,Firefox,Internet Explorer,Safari,Opera
3/1/2015,63.7,22.1,7.7,3.9,1.5
2/1/2015,62.5,22.9,8,3.9,1.5
1/1/2015,61.9,23.4,7.8,3.8,1.6
12/1/2014,61.6,23.6,8,3.7,1.6
11/1/2014,60.1,23.4,9.8,3.7,1.6
10/1/2014,60.4,23.4,9.5,3.9,1.6
9/1/2014,59.6,24,9.9,3.6,1.6
8/1/2014,60.1,24.7,8.3,3.7,1.8
7/1/2014,59.8,24.9,8.5,3.5,1.7
6/1/2014,59.3,25.1,8.8,3.7,1.8
5/1/2014,59.2,24.9,8.9,3.8,1.8
4/1/2014,58.4,25,9.4,4,1.8
3/1/2014,57.5,25.6,9.7,3.9,1.8
2/1/2014,56.4,26.4,9.8,4,1.9
1/1/2014,55.7,26.9,10.2,3.9,1.8
12/1/2013,55.8,26.8,9,3.8,1.9
11/1/2013,54.8,26.8,10.5,4,1.8
10/1/2013,54.1,27.2,11.7,3.8,1.7
9/1/2013,53.2,27.8,12.1,3.9,1.7
8/1/2013,52.9,28.2,11.8,3.9,1.8
7/1/2013,52.8,28.9,11.8,3.6,1.6
6/1/2013,52.1,28.9,12,3.9,1.7
5/1/2013,52.9,27.7,12.6,4,1.6
4/1/2013,52.7,27.9,12.7,4,1.7
3/1/2013,51.7,28.5,13,4.1,1.8
2/1/2013,50,29.6,13.5,4.1,1.8
1/1/2013,48.4,30.2,14.3,4.2,1.9
12/1/2012,46.9,31.1,14.7,4.2,2.1
11/1/2012,46.3,31.2,15.1,4.4,2
10/1/2012,44.9,31.8,16.1,4.3,2
9/1/2012,44.1,32.2,16.4,4.2,2.1
8/1/2012,43.7,32.8,16.2,4,2.2
7/1/2012,42.9,33.7,16.3,3.9,2.1
6/1/2012,41.7,34.4,16.7,4.1,2.2
5/1/2012,39.3,35.2,18.1,4.3,2.2
4/1/2012,38.3,35.8,18.3,4.5,2.3
3/1/2012,37.3,36.3,18.9,4.4,2.3
2/1/2012,36.3,37.1,19.5,4.5,2.3
1/1/2012,35.3,37.2,20.1,4.3,2.4
12/1/2011,36.3,37.7,20.2,4.2,2.5
11/1/2011,33.4,38.1,21.2,4.2,2.4
10/1/2011,32.3,38.7,21.7,4.2,2.4
9/1/2011,30.5,39.7,22.9,4,2.2
8/1/2011,30.3,40.6,22.4,3.8,2.3
7/1/2011,29.4,42,22,3.6,2.4
6/1/2011,27.9,42.2,23.2,3.7,2.4
5/1/2011,25.9,42.4,24.9,4,2.4
4/1/2011,25.6,42.9,24.3,4.1,2.6
3/1/2011,25,42.2,25.8,4,2.5
2/1/2011,24.1,42.4,26.5,4.1,2.5
1/1/2011,23.8,42.8,26.6,4,2.5
12/1/2010,22.4,43.5,27.5,3.8,2.2
11/1/2010,20.5,44,28.6,4,2.3
10/1/2010,19.2,44.1,29.7,3.9,2.2
9/1/2010,17.3,45.1,31.1,3.7,2.2
8/1/2010,17,45.8,30.7,3.5,2.3
7/1/2010,16.7,46.4,30.4,3.4,2.3
6/1/2010,15.9,46.6,31,3.6,2.1
5/1/2010,14.5,46.9,32.2,3.5,2.2
4/1/2010,13.6,46.4,33.4,3.7,2.2
3/1/2010,12.3,46.2,34.9,3.7,2.2
2/1/2010,11.6,46.5,35.3,3.8,2.1
1/1/2010,10.8,46.3,36.2,3.7,2.2
12/1/2009,9.8,46.4,37.2,3.6,2.3
11/1/2009,8.5,47,37.7,3.8,2.3
10/1/2009,8,47.5,37.5,3.8,2.3
9/1/2009,7.1,46.6,39.6,3.6,2.2
8/1/2009,7,47.4,39.3,3.3,2.1
7/1/2009,6.5,47.9,39.4,3.3,2.1
6/1/2009,6,47.3,40.7,3.1,2.1
5/1/2009,5.5,47.7,41,3,2.2
4/1/2009,4.9,47.1,42.1,3,2.2
3/1/2009,4.2,46.5,43.3,3.1,2.3
2/1/2009,4,46.4,43.6,3,2.2
1/1/2009,3.9,45.5,44.8,3,2.3
12/1/2008,3.6,44.4,46,2.7,2.4
11/1/2008,3.1,44.2,47,2.7,2.3
10/1/2008,3,44,47.4,2.8,2.2
9/1/2008,3.1,42.6,49,2.7,2
8/1/2008,0,43.7,51,2.6,2.1
7/1/2008,0,42.6,52.4,2.5,1
6/1/2008,0,41,54.2,2.6,1.7
5/1/2008,0,39.8,54.4,2.4,1.5
4/1/2008,0,39.1,54.8,2.2,1.4
3/1/2008,0,37,53.9,2.1,1.4
2/1/2008,0,36.5,54.7,2,1.4
1/1/2008,0,36.4,54.7,1.9,1.4
11/1/2007,0,35.4,56,1.8,1.6
9/1/2007,0,35.4,57.2,1.6,1.5
7/1/2007,0,34.5,58.5,1.5,1.9
5/1/2007,0,33.7,58.9,1.5,1.7
3/1/2007,0,31.8,58.7,1.6,1.6
1/1/2007,0,31,58.6,1.7,1.5
11/1/2006,0,29.9,60.6,,1.5
9/1/2006,0,27.3,62.1,,1.6
7/1/2006,0,25.5,62.4,,1.4
5/1/2006,0,25.7,63,,1.5
3/1/2006,0,24.5,64.7,,1.5
1/1/2006,0,25,66,,1.6
11/1/2005,0,23.6,68.9,,1.5
9/1/2005,0,18,75.5,,1.2
7/1/2005,0,19.8,73.8,,1.2
5/1/2005,0,21,71.6,,1.3
3/1/2005,0,18.9,72.5,,1.9
1/1/2005,0,16.6,74.5,,1.9
