,Chrome Absolute,Firefox Absolute,Internet Explorer Absolute,Chrome share,Firefox share,IE share
Jun  2013,600225,424783,158639,0.0001391664,9.8488922E-005,3.6781566E-005
Jul  2013,734058,479942,167654,0.0001669233,0.0001091379,3.8124185E-005
Aug  2013,693588,473589,155597,0.0001508323,0.0001029898,3.3837169E-005
Sep  2013,798531,514174,173891,0.000153859,9.906979E-005,3.3504893E-005
Oct  2013,870655,530931,188248,0.0001440656,8.7852099E-005,0.000031149
Nov  2013,877797,534038,208279,0.0001503729,9.1484544E-005,3.5679688E-005
Dec  2013,814241,486522,197003,0.0001356263,8.103885E-005,3.2814337E-005
Jan  2014,1108767,557046,202163,0.0001608517,8.0812083E-005,2.9328302E-005
Feb  2014,861764,474159,173701,0.0001418223,7.8033326E-005,2.8586333E-005
Mar  2014,792907,462472,180832,0.0001126544,6.5706929E-005,2.5692183E-005
Apr  2014,779271,483385,186018,0.0001221702,7.5782659E-005,0.000029163
May  2014,684625,434328,138567,0.0001128408,7.1586509E-005,2.2838794E-005
Jun  2014,678167,407454,130577,0.0001228456,7.3807675E-005,2.3653185E-005
Jul  2014,674651,406729,135619,0.0001345387,8.1109799E-005,2.7045108E-005
Aug  2014,643178,385925,129187,0.0001152392,6.9146767E-005,2.3146631E-005
Sep  2014,663555,412159,138273,0.0001075091,0.000066778,0.000022403
Oct  2014,986680,569658,203455,0.0001441087,8.3200922E-005,2.971545E-005
Nov  2014,782557,465244,168611,0.0001205058,7.1642807E-005,2.5964366E-005
Dec  2014,876818,545007,182074,0.0001261199,7.8392842E-005,2.6189202E-005
Jan  2015,937474,551881,169897,0.0001367476,8.0501889E-005,2.478257E-005
Feb  2015,879803,612032,201647,0.0001453204,0.0001010917,3.3306802E-005
Mar  2015,868620,709471,229953,0.0001246011,0.0001017716,3.29861E-005
Apr  2015,1127619,720120,263680,0.0001631937,0.0001042188,3.8160867E-005
May  2015,1163914,695414,200193,0.0001827696,0.000109201,3.1436344E-005
