date,Chrome,Firefox,Internet Explorer
1/1/2005,286,2807,1886
2/1/2005,281,2827,1742
3/1/2005,254,2777,1674
4/1/2005,433,2951,1863
5/1/2005,373,3014,1561
6/1/2005,356,3153,1728
7/1/2005,523,4651,2399
8/1/2005,483,3306,1954
9/1/2005,446,3602,1909
10/1/2005,568,3831,2449
11/1/2005,514,3818,2070
12/1/2005,475,3949,2224
1/1/2006,677,4404,2423
2/1/2006,788,4372,2696
3/1/2006,800,4301,2645
4/1/2006,743,4191,2780
5/1/2006,896,4789,2762
6/1/2006,709,4515,2530
7/1/2006,839,4895,3055
8/1/2006,705,5155,3630
9/1/2006,673,5223,3495
10/1/2006,870,6441,4763
11/1/2006,1247,12527,29559
12/1/2006,811,6913,7763
1/1/2007,1156,9226,8135
2/1/2007,1283,6990,7706
3/1/2007,6959,34253,31424
4/1/2007,7171,27976,24582
5/1/2007,1653,10700,9700
6/1/2007,2420,16725,13262
7/1/2007,2634,11785,9818
8/1/2007,17917,23448,21808
9/1/2007,23903,30721,29282
10/1/2007,9783,25805,16651
11/1/2007,4270,17245,10216
12/1/2007,11663,62974,29450
1/1/2008,9568,25407,20522
2/1/2008,11316,26972,20805
3/1/2008,11286,34405,22206
4/1/2008,22304,41142,23224
5/1/2008,8421,31785,24239
6/1/2008,11538,37543,26464
7/1/2008,21776,44040,35237
8/1/2008,38891,94706,87585
9/1/2008,56680,175803,174224
10/1/2008,59677,170676,176431
11/1/2008,18522,53867,44986
12/1/2008,35505,124234,60053
1/1/2009,26241,96571,64045
2/1/2009,40165,141936,100822
3/1/2009,33284,105215,88532
4/1/2009,41979,127177,76981
5/1/2009,65944,247473,152047
6/1/2009,37108,188712,110351
7/1/2009,33374,134412,83598
8/1/2009,156893,243348,209833
9/1/2009,100330,217110,109548
10/1/2009,107401,194613,111273
11/1/2009,151601,313450,198640
12/1/2009,258830,533805,416532
1/1/2010,97423,262659,170013
2/1/2010,96340,248041,143911
3/1/2010,131756,275511,166904
4/1/2010,74909,230819,136650
5/1/2010,106834,286890,174587
6/1/2010,152593,336883,216812
7/1/2010,171451,361834,227893
8/1/2010,148889,282494,180544
9/1/2010,131478,328832,254808
10/1/2010,146359,326001,236420
11/1/2010,113661,273715,206687
12/1/2010,165158,430138,247133
1/1/2011,143818,370277,237105
2/1/2011,137585,334779,222418
3/1/2011,131321,381950,224557
4/1/2011,141274,583813,287414
5/1/2011,128917,762852,545940
6/1/2011,136939,448591,247456
7/1/2011,329339,838200,529711
8/1/2011,216744,640954,463224
9/1/2011,253580,689928,537531
10/1/2011,236198,614066,340556
11/1/2011,168159,555476,259711
12/1/2011,143049,444601,216514
1/1/2012,182792,535212,246154
2/1/2012,219152,655648,304304
3/1/2012,295500,844641,400945
4/1/2012,250488,644678,317064
5/1/2012,300991,727357,468152
6/1/2012,253304,817610,601753
7/1/2012,189672,534123,401355
8/1/2012,325453,834383,594080
9/1/2012,396986,925604,681384
10/1/2012,302121,891501,527843
11/1/2012,362509,804836,713347
12/1/2012,538007,1033745,960488
1/1/2013,410590,955615,636996
2/1/2013,348965,861202,592849
3/1/2013,497177,1200058,791074
4/1/2013,450914,1003423,705563
5/1/2013,542160,1202342,785210
6/1/2013,570836,1024293,605427
7/1/2013,514026,1067281,691451
8/1/2013,595597,1133931,830608
9/1/2013,637071,1108778,894481
10/1/2013,680421,1387483,1151192
11/1/2013,640414,1471462,1092963
12/1/2013,715362,1524423,1129292
1/1/2014,804479,1726746,1268206
2/1/2014,830548,1883249,1327374
3/1/2014,917471,1777034,1336508
4/1/2014,922059,1817865,1343721
5/1/2014,819108,1925432,1350685
6/1/2014,1010267,1824163,1389443
7/1/2014,899824,1769042,1210914
8/1/2014,946818,1787017,1220530
9/1/2014,1110363,1969400,1365371
10/1/2014,1387915,2102024,1750213
11/1/2014,1101004,2061226,1594811
12/1/2014,1231590,2105872,1668122
1/1/2015,1152294,2079019,1590456
2/1/2015,1312849,2111737,1658326
3/1/2015,1390851,2264796,1758627
4/1/2015,1450928,2167788,1748477
5/1/2015,1437069,2238157,1651458
